radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,address
LTE,222,1,10853,128188941,0,9.213409,45.519791,1000,2,1,1424024597,1434740674,0,"Viale Piero e Alberto Pirelli, 25, 20126 Milano MI, Italy"
LTE,222,1,10853,128006921,0,9.210706,45.489781,1000,2,1,1443045255,1512109289,0,"Via Soperga, 39, 20127 Milano MI, Italy"
LTE,222,1,10853,128038915,0,9.199375,45.482433,1000,2,1,1457725527,1540542561,0,"Via Leopoldo Marangoni, 8, 038981 Milano MI, Italy"
LTE,222,1,24302,128248067,0,9.161911011,45.4813385,1000,3,1,1459817125,1491313247,0,"Domodossola, 20149 Milano MI, Italy"
LTE,222,1,11268,128005123,0,9.164657593,45.46760559,1000,1,1,1436011780,1436011780,0,"Via Alberto da Giussano, 1/A, 20145 Milano MI, Italy"
LTE,222,1,11268,128012033,0,9.177017212,45.48957825,1000,1,1,1433253895,1433253895,0,"Porta Volta, Milano MI, Italy"
LTE,222,1,11268,128257030,0,9.168777466,45.48683167,1000,1,1,1434325319,1434325319,0,"Via Giacomo Soldati, 16, 20154 Milano MI, Italy"
LTE,222,1,11268,128000771,0,9.14680481,45.48683167,1000,1,1,1444721815,1444721815,0,"Via Ignazio Gardella, 10, 20149 Milano MI, Italy"
LTE,222,1,11268,128036867,0,9.155044556,45.49781799,1000,1,1,1443602845,1443602845,0,"Via Ercolano, 3, 20155 Milano MI, Italy"
LTE,222,1,11268,128006146,0,9.153671265,45.47309875,1000,1,1,1434281949,1434281949,0,"Piazzale Giulio Cesare, 9, 20145 Milano MI, Italy"
LTE,222,1,11268,128022531,0,9.161911011,45.45661926,1000,1,1,1436483992,1436483992,0,"Via Bergognone Ambrogio, 3, 20144 Milano MI, Italy"
LTE,222,1,11268,128043265,0,9.149551392,45.48271179,1000,1,1,1443495073,1443495073,0,"Milan, Fiera Milano CIty (Viale Teodorico), 20149 Milano MI, Italy"
LTE,222,1,11268,128013314,0,9.148178101,45.45387268,1000,1,1,1435497459,1435497459,0,"Via Lorenteggio, 24, 20146 Milano MI, Italy"
LTE,222,1,11268,128022530,0,9.167404175,45.45661926,1000,1,1,1436379801,1436379801,0,"Via Andrea Solari, 7, 20144 Milano MI, Italy"
LTE,222,1,11268,128014339,0,9.172897339,45.46485901,1000,1,1,1435709406,1435709406,0,"Via Aristide de Togni, 12, 20123 Milano MI, Italy"
LTE,222,1,11270,128004865,0,9.141311646,45.48408508,1000,1,1,1438316526,1438316526,0,"Via Vesio, 6, 20148 Milano MI, Italy"
LTE,222,1,11300,128046855,0,9.06578064,45.50056458,1000,1,1,1441169803,1441169803,0,"A.m.s.a., 20153 Milano MI, Italy"
LTE,222,1,11300,128036099,0,9.122085571,45.49919128,1000,1,1,1430027647,1430027647,0,"Via Privata Grosio, 10, 20151 Milano MI, Italy"
LTE,222,1,11270,128269314,0,9.168777466,45.45936584,1000,1,1,1442806764,1442806764,0,"Via Servio Tullio, 4, 20123 Milano MI, Italy"
LTE,222,1,11270,128021251,0,9.137191772,45.46485901,1000,1,1,1437016283,1437016283,0,"Piazzale Siena, 7, 20146 Milano MI, Italy"
LTE,222,1,11300,128038403,0,9.119338989,45.4813385,1000,1,1,1426001323,1426001323,0,"Via Patroclo, 15, 20151 Milano MI, Italy"
LTE,222,1,11270,128286468,0,9.144058228,45.48271179,1000,1,1,1444263126,1444263126,0,"Piazza Carlo Stuparich, 4, 20148 Milano MI, Italy"
LTE,222,1,11269,128202248,0,9.163284302,45.46760559,1000,1,1,1444650288,1444650288,0,"Via Antonio Scarpa, 11, 20145 Milano MI, Italy"
LTE,222,1,11271,128269062,0,9.157791138,45.51429749,1000,1,1,1443602845,1443602845,0,"Via Gabbro, 2, 20161 Milano MI, Italy"
LTE,222,1,11300,128007426,0,9.101486206,45.48957825,1000,1,1,1426081430,1426081430,0,"Via Fratelli Gorlini, 9, 20151 Milano MI, Italy"
LTE,222,1,11269,128202242,0,9.161911011,45.46760559,1000,1,1,1444650288,1444650288,0,"Via Giovanni Rasori, 13, 20145 Milano MI, Italy"
LTE,222,1,11271,128022531,0,9.164657593,45.45524597,1000,1,1,1441552801,1441552801,0,"Via Andrea Solari, 23, 20100 Milano MI, Italy"
LTE,222,1,11271,128039170,0,9.17427063,45.52116394,1000,1,1,1444711033,1444711033,0,"Via Iseo, 10, 20161 Milano MI, Italy"
LTE,222,1,11269,128213509,0,9.153671265,45.47721863,1000,1,1,1443798712,1443798712,0,"City Life, 20145 Milano MI, Italy"
LTE,222,1,11271,128014339,0,9.166030884,45.46897888,1000,1,1,1444650288,1444650288,0,"Via Lodovico Ariosto, 16, 20123 Milano MI, Italy"
LTE,222,1,11271,128005122,0,9.178390503,45.46760559,1000,1,1,1444107017,1444107017,0,"Via Giacomo Puccini, 33, 20121 Milano MI, Italy"
LTE,222,1,11270,128275459,0,9.137191772,45.46348572,1000,1,1,1438316526,1438316526,0,"Viale Pisa, 33, 20146 Milano MI, Italy"
LTE,222,1,11300,128038401,0,9.119338989,45.4813385,1000,1,1,1426001323,1426001323,0,"Via Patroclo, 15, 20151 Milano MI, Italy"
LTE,222,1,11269,128048897,0,9.177017212,45.49369812,1000,1,1,1444650288,1444650288,0,"Via dell'Aprica, 26, 20158 Milano MI, Italy"
LTE,222,1,11271,128035074,0,9.172897339,45.45936584,1000,1,1,1442165920,1442165920,0,"Via Ariberto, 20, 20123 Milano MI, Italy"
LTE,222,1,11300,128211202,0,9.06578064,45.50331116,1000,1,1,1433010989,1433010989,0,"A50, 20153 Milano MI, Italy"
LTE,222,1,11300,128222977,0,9.150924683,45.5115509,1000,1,1,1443602845,1443602845,0,"Via Dante Chiasserini, 68, 20157 Milano MI, Italy"
LTE,222,1,11300,128222979,0,9.135818481,45.50468445,1000,1,1,1445399691,1445399691,0,"Via Angelo Brunetti, 7, 20156 Milano MI, Italy"
LTE,222,1,11300,128207617,0,9.128952026,45.51979065,1000,1,1,1429953295,1429953295,0,"Via Val Lagarina, 27, 20157 Milano MI, Italy"
LTE,222,1,11300,128207618,0,9.126205444,45.50880432,1000,1,1,1430027538,1430027538,0,"Via Triboniano, 109, 20156 Milano MI, Italy"
LTE,222,1,11268,128213519,0,9.159164429,45.48408508,1000,1,1,1435623405,1435623405,0,"Via Arona, 2, 20149 Milano MI, Italy"
LTE,222,1,11268,128043277,0,9.148178101,45.48271179,1000,1,1,1443888237,1443888237,0,"Via Sebastiano Veniero, 3, 20148 Milano MI, Italy"
LTE,222,1,11268,128048898,0,9.168777466,45.47859192,1000,1,1,1435627923,1435627923,0,"Corso Sempione, 22, 20154 Milano MI, Italy"
LTE,222,1,11268,128269062,0,9.159164429,45.51429749,1000,1,1,1437136655,1437136655,0,"Q.re Bovisasca, 20161 Milano MI, Italy"
LTE,222,1,11268,128048897,0,9.172897339,45.49095154,1000,1,1,1436112541,1436112541,0,"Via Privata Giovanni Calvino, 21, 20154 Milano MI, Italy"
LTE,222,1,11268,128034818,0,9.152297974,45.47859192,1000,1,1,1443798712,1443798712,0,"Viale Eginardo, 3, 20149 Milano MI, Italy"
LTE,222,1,11268,128202248,0,9.161911011,45.45936584,1000,1,1,1432299853,1432299853,0,"Via Giuseppe Dezza, 48, 20144 Milano MI, Italy"
LTE,222,1,11268,128202241,0,9.157791138,45.47035217,1000,1,1,1435221270,1435221270,0,"Via Privata Duccio di Boninsegna, 10, 20145 Milano MI, Italy"
LTE,222,1,11268,128202242,0,9.159164429,45.46485901,1000,1,1,1436011590,1436011590,0,"Via Domenico Cimarosa, 13, 20144 Milano MI, Italy"
LTE,222,1,11268,128036609,0,9.156417847,45.49232483,1000,1,1,1443602845,1443602845,0,"Via Valcava, 6, 20155 Milano MI, Italy"
LTE,222,1,11268,128082178,0,9.166030884,45.46760559,1000,1,1,1436011780,1436011780,0,"Piazza della Conciliazione, 5, 20123 Milano MI, Italy"
LTE,222,1,11268,128039171,0,9.159164429,45.51292419,1000,1,1,1437120167,1437120167,0,"Via Bovisasca, 125, 20157 Milano MI, Italy"
LTE,222,1,11268,128213762,0,9.145431519,45.45249939,1000,1,1,1435497459,1435497459,0,"Via Lorenteggio, 57, 20146 Milano MI, Italy"
LTE,222,1,11271,128082179,0,9.150924683,45.47447205,1000,1,1,1443798712,1443798712,0,"Via Monte Bianco, 2, 20149 Milano MI, Italy"
LTE,222,1,11269,128213507,0,9.159164429,45.48408508,1000,1,1,1444650288,1444650288,0,"Via Arona, 2, 20149 Milano MI, Italy"
LTE,222,1,11300,128049667,0,9.117965698,45.48957825,1000,1,1,1444548240,1444548240,0,"Via Eugenio Montale, 12, 20151 Milano MI, Italy"
LTE,222,1,11271,128014338,0,9.172897339,45.46073914,1000,1,1,1444107017,1444107017,0,"Via Olona, 7, 20123 Milano MI, Italy"
LTE,222,1,11269,128020225,0,9.167404175,45.48683167,1000,1,1,1444778910,1444778910,0,"Via S. Galdino, 6, 20154 Milano MI, Italy"
LTE,222,1,11271,128022530,0,9.175643921,45.45524597,1000,1,1,1436928025,1436928025,0,"Via Galeazzo Alessi, 11, 20123 Milano MI, Italy"
LTE,222,1,11300,128009219,0,9.126205444,45.50880432,1000,1,1,1430454538,1430454538,0,"Via Triboniano, 109, 20156 Milano MI, Italy"
LTE,222,1,11271,128005123,0,9.167404175,45.46760559,1000,1,1,1444956416,1444956416,0,"Boccaccio, 20123 Milano MI, Italy"
LTE,222,1,11270,128213762,0,9.138565063,45.45799255,1000,1,1,1437667578,1437667578,0,"Via Bartolomeo D'Alviano, 51, 20146 Milano MI, Italy"
